timestamp,symbol,side,qty,entry_price,exit_price,pnl,status,order_id
2025-11-08T21:09:04.921674,EURUSD,BUY,1,,,,submitted,16
2025-11-13T15:35:44.694356,EURUSD,BUY,1,,,,dry-run,DRY_1763048144
2025-11-13T15:38:37.276343,EURUSD,BUY,1,,,,dry-run,DRY_1763048317
2025-11-13T15:40:07.645043,EURUSD,BUY,2864248,1.16402,,,dry-run,DRY_1763048407
2025-11-13T15:43:02.415310,EURUSD,BUY,2864159,1.164065,,,dry-run,DRY_1763048582
2025-11-13T15:58:38.298666,EURUSD,BUY,2864276,1.164015,,,dry-run,DRY_1763049518
2025-11-13T16:32:08.883986,EURUSD,BUY,1,,,,submitted,12
2025-11-13T17:10:58.250101,EURUSD,BUY,2861852,1.165015,,,submitted,16
2025-11-15T12:54:41.676728,XAUUSD,BUY,1,,,,dry-run,DRY_1763211281
2025-11-15T13:00:53.122850,XAUUSD,BUY,1,,,,dry-run,DRY_1763211653
2025-11-15T13:12:42.844109,XAUUSD,BUY,1,,,,dry-run,DRY_1763212362
2025-11-15T13:17:11.501625,XAUUSD,BUY,1,,,,dry-run,DRY_1763212631
